convey; передавать, выражать
crucial; решающий, критический
clarify; прояснять
collaborate; сотрудничать
commence; начинать
compensate; компенсировать
complement; дополнять
cautious; осторожный
catalyst; катализатор, стимул
candid; откровенный, прямой
brevity; краткость
benevolent; доброжелательный, благотворительный
ascertain; выяснять, устанавливать
arbitrary; произвольный
appraise; оценивать
anticipate; предвидеть, ожидать
amend; исправлять, вносить поправки
allocate; выделять, распределять
delegate; делегировать
cumulative; совокупный, накопительный
